Alert ID,Date,Status Label,Affected,Header,Description
189572,12/21/2022 02:18:00 AM,buses-detoured,"[""S51""]",Grant City-bound S51 buses are detoured because of construction on Midland Ave between Hylan Blvd and Boundary Ave.,"While detoured, you may notice a few extra turns but no stops will be missed."
189664,12/21/2022 12:46:00 PM,delays,"[""S51""]",Grant City-bound S51 buses are no longer detoured construction on Midland Ave between Hylan Blvd and Boundary Ave was completed.,
188831,12/17/2022 01:25:00 PM,delays,"[""BXM1""]","The following BxM1 trips will not run:

Southbound (Riverdale Ave/W 261st St): 8:45 AM, and 11:45 AM
Northbound (3rd Ave/E 33rd St): 10:25 AM, and 10:45 AM","We’re running as much service as we can with the bus operators we have available. 
See when your next bus arrives by using bustime.mta.info"
188833,12/17/2022 01:31:00 PM,delays,"[""BXM1""]","The following BxM1 trips will not run:

Southbound (Riverdale Ave/W 261st St): 8:45 AM, and 11:45 AM
Northbound (3rd Ave/E 33rd St): 10:25 AM, and 10:55 AM","We’re running as much service as we can with the bus operators we have available.
See when your next bus arrives by using bustime.mta.info"
188835,12/17/2022 01:42:00 PM,delays,"[""BXM1""]","The following BxM1 trips will run:

Southbound (Riverdale Ave/W 261st St): 8:45 AM, and 11:45 AM
Northbound (3rd Ave/E 33rd St): 10:25 AM","We announced earlier that these trips would not run.
However, our bus dispatchers were able to make staffing adjustments."
186833,12/08/2022 01:23:00 AM,buses-detoured,"[""Q32"", ""Q33""]",Manhattan-bound Q32 and Jackson Hts-bound Q33 buses are detoured because of road work at 82nd St/37th Ave.,"Buses will not serve stops from 82nd St/35th Ave to Roosevelt Ave/75th St.

While detoured, buses will make stops as requested on 35th Ave."
186834,12/08/2022 01:24:00 AM,buses-detoured,"[""Q32"", ""Q33""]",Manhattan-bound Q32 and Jackson Hts-bound Q33 buses are detoured because of road work at 82nd St/37th Ave.,"Buses will not serve stops from 82nd St/35th Ave to Roosevelt Ave/75th St.

While detoured, buses will make stops as requested on 35th Ave.

Use this link to view a map of the detour."
186871,12/08/2022 06:15:00 AM,delays,"[""Q32"", ""Q33""]",Manhattan-bound Q32 and Jackson Hts-bound Q33 buses are no longer detoured after road work at 82nd St/37th Ave concluded.,
186555,12/07/2022 01:17:00 AM,buses-detoured,"[""Q32"", ""Q33""]",Manhattan-bound Q32 and Jackson Hts-bound Q33 buses are detoured because of road work at 82nd St/37th Ave.,"Buses will not serve stops from 82nd St/35th Ave to Roosevelt Ave/75th St.

While detoured, buses will make stops as requested on 35th Ave."
186564,12/07/2022 01:51:00 AM,buses-detoured,"[""Q32"", ""Q33""]",Manhattan-bound Q32 and Jackson Hts-bound Q33 buses are detoured because of road work at 82nd St/37th Ave.,"Buses will not serve stops from 82nd St/35th Ave to Roosevelt Ave/75th St.

While detoured, buses will make stops as requested on 35th Ave."
186565,12/07/2022 01:53:00 AM,buses-detoured,"[""Q32"", ""Q33""]",Manhattan-bound Q32 and Jackson Hts-bound Q33 buses are detoured because of road work at 82nd St/37th Ave.,"Buses will not serve stops from 82nd St/35th Ave to Roosevelt Ave/75th St.

While detoured, buses will make stops as requested on 35th Ave.

Use this link to view a map of the detoured route."
186670,12/07/2022 10:22:00 AM,delays,"[""Q32"", ""Q33""]",Manhattan-bound Q32 and Jackson Hts-bound Q33 buses are no longer detoured after road work at 82nd St/37th Ave concluded.,
186316,12/06/2022 02:53:00 AM,buses-detoured,"[""Q32"", ""Q33""]",Westbound Q32 buses and southbound Q33 buses are detoured because of road work along 82nd St from 37th Ave to Roosevelt Ave.,"While detoured, Q32 buses will not serve stops from 82nd St/35th Ave to Roosevelt Ave/76th St.

While detoured, Q33 buses will not serve stops from 82nd St/35th Ave to Roosevelt Ave/78th St.

Buses will make stops as requested along 35th Ave and 75th St instead."
186318,12/06/2022 02:55:00 AM,buses-detoured,"[""Q32"", ""Q33""]",Westbound Q32 buses and southbound Q33 buses are detoured because of road work along 82nd St from 37th Ave to Roosevelt Ave.,"While detoured, Q32 buses will not serve stops from 82nd St/35th Ave to Roosevelt Ave/76th St.

While detoured, Q33 buses will not serve stops from 82nd St/35th Ave to Roosevelt Ave/78th St.

Buses will make stops as requested along 35th Ave and 75th St instead.

Use this map to view how Q32 buses are detoured.

Use this map to view how Q33 buses are detoured."
186473,12/06/2022 07:29:00 PM,delays,"[""Q32"", ""Q33""]",Westbound Q32 buses and southbound Q33 buses are no longer detoured after road work along 82nd St from 37th Ave to Roosevelt Ave concluded.,
185447,12/01/2022 03:21:00 PM,buses-detoured,"[""Q100""]",Eastbound Q100 and northbound Q100 buses are detoured because road work along 42nd Rd from Crescent St to 24th St.,"While detoured, you may notice a few extra turns, but no stops will be missed."
185486,12/01/2022 07:17:00 PM,buses-detoured,"[""Q100""]",Eastbound Q66 and northbound Q100 buses are detoured because of road work along 42nd Rd from Crescent St to 24th St.,"While detoured, you may notice a few extra turns, but no stops will be missed."
185487,12/01/2022 07:18:00 PM,buses-detoured,"[""Q100"", ""Q66""]",Eastbound Q66 and northbound Q100 buses are detoured because of road work along 42nd Rd from Crescent St to 24th St.,"While detoured, you may notice a few extra turns, but no stops will be missed."
185564,12/02/2022 02:51:00 AM,buses-detoured,"[""Q100"", ""Q66""]",Eastbound Q66 and northbound Q100 buses are no longer detoured after road work on 42nd Rd from Crescent St to 24th St concluded.,
182617,11/17/2022 01:47:00 PM,buses-detoured,"[""B60""]",Northbound B60 and southbound B24 buses are detoured because of a vehicle blocking the street at Marcy Ave/Broadway.,"B60 buses will not serve the Marcy Ave/S 4th St and Broadway/Marcy Ave stops. 
B24 buses will not serve stops on Marcy Ave from Hope St to Broadway.

While detoured, stops will be made along Boreinguen Pl and Driggs Ave as requested."
182618,11/17/2022 01:48:00 PM,buses-detoured,"[""B60""]",Northbound B60 and southbound B24 buses are detoured because of a vehicle blocking the street at Marcy Ave/Broadway.,"B60 buses will not serve the Marcy Ave/S 4th St and Broadway/Marcy Ave stops.
B24 buses will not serve stops on Marcy Ave from Hope St to Broadway.

While detoured, stops will be made along Boreinguen Pl and Driggs Ave as requested.
Click this link for a map of the detours."
182622,11/17/2022 02:12:00 PM,delays,"[""B24"", ""B60""]",Northbound B60 and southbound B24 buses are no longer detoured after a disabled vehicle blocking the street at Marcy Ave/Broadway was removed.,
182494,11/17/2022 01:42:00 AM,buses-detoured,"[""BX16"", ""BX34""]",Westbound Bx16 and southbound Bx34 buses are detoured because of construction on Bainbridge Ave from E. 211th St to E. Gun Hill Rd.,"Buses will not make the Jerome Ave/Bainbridge Ave and E. 212th St/Bainbridge Ave bus stops.

Buses will instead make stops along Jerome Ave and E. Gun Hill Rd, as requested."
182495,11/17/2022 01:43:00 AM,buses-detoured,"[""BX16"", ""BX34""]",Westbound Bx16 and southbound Bx34 buses are detoured because of construction on Bainbridge Ave from E. 211th St to E. Gun Hill Rd.,"Buses will not make the Jerome Ave/Bainbridge Ave and E. 212th St/Bainbridge Ave bus stops.

Buses will instead make stops along Jerome Ave and E. Gun Hill Rd, as requested.

Use this link to view a map of the detours."
182589,11/17/2022 11:26:00 AM,delays,"[""BX16"", ""BX34""]",Westbound Bx16 and southbound Bx34 buses are no longer detoured after construction on Bainbridge Ave from E. 211th St to E. Gun Hill Rd was completed.,
181742,11/13/2022 04:55:00 PM,buses-detoured,"[""B15"", ""B47""]",Westbound B15 and Northbound B47 buses are detoured because of construction on E 98th St. and Rutland Road.,"B15 buses will not make stops at E 98th St./Blake Av. and E 98th St./Dumont Av. 
B15 buses will instead make corresponding stops on Howard Av, as requested.

B47 buses will not make stops on E 98th St. and Winthrop St. from Sutter Av. to Rockaway Pkwy.
B47 buses will instead make corresponding stops on Rockaway Pkwy, as requested."
181889,11/14/2022 03:47:00 PM,delays,"[""B15"", ""B47""]",Westbound B15 and Northbound B47 buses are no longer detoured after construction at E 98th St/Rutland Rd ended.,
180724,11/09/2022 02:14:00 AM,buses-detoured,"[""Q76"", ""Q77""]",Southbound Q76 and northbound Q77 buses are detoured because of FDNY activity at Hillside Ave/199th St.,"While detoured southbound Q76 buses will not make stops from Francis Lewis Blvd/Union Trpk to Hillside Ave/188th St.

While detoured northbound Q77 buses will not make stops from Hillside Ave/205th St to Hillside Ave/188th St.

While detoured buses will make stops as requested on the detour route."
180725,11/09/2022 02:15:00 AM,buses-detoured,"[""Q76"", ""Q77""]",Southbound Q76 and northbound Q77 buses are detoured because of FDNY activity at Hillside Ave/199th St.,"While detoured southbound Q76 buses will not make stops from Francis Lewis Blvd/Union Trpk to Hillside Ave/188th St.

While detoured northbound Q77 buses will not make stops from Hillside Ave/205th St to Hillside Ave/188th St.

While detoured buses will make stops as requested on the detour route.

Visit this link for a map of the detour."
180736,11/09/2022 03:17:00 AM,delays,"[""Q76"", ""Q77""]",Southbound Q76 and northbound Q77 buses are no longer detoured after FDNY activity at Hillside Ave/199th St concluded.,
180257,11/06/2022 02:20:00 PM,buses-detoured,"[""Q47"", ""Q49""]",Eastbound Q49 and northbound Q47 buses are detoured because of a street fair taking place on 74th St between Roosevelt Ave and 37th Ave.,"While detoured, northbound Q47 and eastbound Q49 buses will miss the 74th St/37th Ave and 74th St/35th Ave stops.

Stops will be made along Broadway and 35th Ave, as requested."
180259,11/06/2022 02:23:00 PM,buses-detoured,"[""Q47"", ""Q49""]",Eastbound Q49 and northbound Q47 buses are detoured because of a street fair taking place on 74th St between Roosevelt Ave and 37th Ave.,"While detoured, northbound Q47 and eastbound Q49 buses will miss the 74th St/37th Ave and 74th St/35th Ave stops.

Stops will be made along Broadway and 35th Ave, as requested.

Click here to view a map of the detoured Q49 route.

Click here to view a map of the detoured Q47 route."
180342,11/07/2022 01:21:00 AM,buses-detoured,"[""Q47"", ""Q49""]",Eastbound Q49 and northbound Q47 buses are no longer detoured following a street fair on 74th St between Roosevelt Ave and 37th Ave.,
179448,11/02/2022 05:10:00 PM,buses-detoured,"[""Q47"", ""Q49""]",Southbound Q47 and westbound Q49 buses are detoured because of utility work at 75th St/35th Ave.,"Southbound Q47 buses will not make stops at 35th Ave/73rd St and 75th St/37th Ave.

Westbound Q49 buses will not make the stop at 75th St/37th Ave.

Buses will instead make stops along 35th Ave and Broadway, as requested."
179449,11/02/2022 05:10:00 PM,buses-detoured,"[""Q47"", ""Q49""]",Southbound Q47 and westbound Q49 buses are detoured because of utility work at 75th St/35th Ave.,"Southbound Q47 buses will not make stops at 35th Ave/73rd St and 75th St/37th Ave.

Westbound Q49 buses will not make the stop at 75th St/37th Ave.

Buses will instead make stops along 35th Ave and Broadway, as requested.

Use this link to view a map of the detour."
179477,11/02/2022 07:40:00 PM,buses-detoured,"[""Q47"", ""Q49""]",Southbound Q47 and westbound Q49 buses are no longer detoured following utility work at 75th St/35th Ave.,
179266,11/01/2022 08:55:00 PM,buses-detoured,"[""Q23""]","Southbound Q23 buses are detoured because of road work on 43rd Ave from 114th St to 104th St.

Northbound Q23 buses have resumed making regular stops.","Revised southbound detour: 

Southbound buses will not make stops from 102nd St/Northern Blvd to 37th Ave/104th St.

While detoured buses will make stops as requested along the detour route."
178351,10/28/2022 01:48:00 AM,buses-detoured,"[""Q24"", ""Q30"", ""Q31""]","EastboundQ24 ,Q30 , and northbound Q31 buses are detoured because of road work at 150th St from Jamaica Ave to 94th Ave.","While detoured, stops along Archer Ave from 149th St to Parsons Blvd will not be made.

Stops will be made as requested along Jamaica Ave."
178352,10/28/2022 01:52:00 AM,buses-detoured,"[""Q24"", ""Q30"", ""Q31""]","Eastbound Q24 ,Q30 , and northbound Q31 buses are detoured because of road work at 150th St from Jamaica Ave to 94th Ave.","While detoured, stops along Archer Ave from 149th St to Parsons Blvd will not be made.

Stops will be made as requested along Jamaica Ave.

Use this link for a map to see the detoured routes."
178381,10/28/2022 04:35:00 AM,delays,"[""Q24"", ""Q30"", ""Q31""]","Eastbound Q24 ,Q30 , and northbound Q31 buses are no longer detoured after road work at 150th St from Jamaica Ave to 94th Ave concluded.",
169221,09/16/2022 09:38:00 AM,delays,"[""Q17"", ""Q88""]",Northbound Q17 and westbound Q88 buses are no longer detoured after roadwork on Horace Harding Expy between 164th St & Kissena Blvd ended.,
169155,09/16/2022 12:57:00 AM,buses-detoured,"[""Q17"", ""Q88""]",Northbound Q17 and westbound Q88 buses are detoured due to roadwork on Horace Harding Expy between 164th St & Kissena Blvd.,"While detoured, the following bus stops will be missed:
Horace Harding Expwy/162nd St
Horace Harding Expwy/160th St
Horace Harding Expwy/Parsons Bvd
Horace Harding Expwy/156th St
Kissena Blvd/Horace Harding Expwy
Kissena Blvd/58th Ave
Stops will be made as requested along Booth Memorial Ave and 164th St instead.

Use this map to view the route detoured buses will take."
169156,09/16/2022 12:58:00 AM,buses-detoured,"[""Q17"", ""Q88""]",Northbound Q17 and westbound Q88 buses are detoured due to roadwork on Horace Harding Expy between 164th St & Kissena Blvd.,"While detoured, the following bus stops will be missed:
Horace Harding Expwy/162nd St
Horace Harding Expwy/160th St
Horace Harding Expwy/Parsons Bvd
Horace Harding Expwy/156th St
Kissena Blvd/Horace Harding Expwy
Kissena Blvd/58th Ave
Stops will be made as requested along Booth Memorial Ave and 164th St instead.

Use this link for a map to view the route detoured buses will take."
168943,09/15/2022 11:16:00 AM,buses-detoured,"[""Q17"", ""Q88""]",Northbound Q17 and westbound Q88 buses are detoured because of road work at Horace Harding Expy Service Rd/Fresh Meadow Lane.,"Buses will not service stops from Horace Harding Expy/Fresh Meadow Lane to Kissena Blvd/Horace Harding Expy.
While detoured, stops will be made along Booth Memorial Ave as requested."
168946,09/15/2022 11:22:00 AM,buses-detoured,"[""Q17"", ""Q88""]",Northbound Q17 and westbound Q88 buses are detoured because of road work at Horace Harding Expy Service Rd/Fresh Meadow Lane.,"Buses will not service stops from Horace Harding Expy/Fresh Meadow Lane to Kissena Blvd/Horace Harding Expy.
While detoured, stops will be made along Booth Memorial Ave as requested.
Click this link for a map of the detours."
168957,09/15/2022 11:41:00 AM,delays,"[""Q17"", ""Q88""]",Northbound Q17 and westbound Q88 buses are running with delays following earlier road work at Horace Harding Expy Service Rd/Fresh Meadow Lane.,Buses have resumed making their regular stops.
166476,09/02/2022 07:42:00 PM,buses-detoured,"[""X27"", ""X37""]",Southbound X27 and X37 buses are detoured because of unsafe vegetation between Westbound Gowanus Expressway and Westbound Belt Parkway.,"While detoured, buses will not make stops from Gowanus Expy/Lorraine St to Wakeman Pl/3rd Ave.

Buses will make stops as requested along Hamilton Ave and 3rd Ave instead."
166477,09/02/2022 07:43:00 PM,buses-detoured,"[""X27"", ""X37""]",Southbound X27 and X37 buses are detoured because of unsafe vegetation between Westbound Gowanus Expressway and Westbound Belt Parkway.,"While detoured, buses will not make stops from Gowanus Expy/Lorraine St to Wakeman Pl/3rd Ave.

Buses will make stops as requested along Hamilton Ave and 3rd Ave instead.

Use this map to view how buses are detoured."
166114,09/01/2022 02:36:00 AM,delays,"[""Q08""]",Eastbound Q8 buses have resumed their regular route in both directions after a water main break on Logan St between Pitkin Ave and Belmont Ave was addressed.,
164839,08/26/2022 12:08:00 PM,buses-detoured,"[""M31"", ""M86""]",Eastbound M31 and northbound M86-SBS buses are detoured because of tree pruning at 91st St/York Ave.,"Stops on York Ave between 86th St and 91st St will not be made.

While detoured stops will be made along 1st Ave as requested."
164840,08/26/2022 12:25:00 PM,buses-detoured,"[""M31"", ""M86""]",Eastbound M31 and northbound M86-SBS buses are detoured because of tree pruning at 91st St/York Ave.,"Stops on York Ave between 86th St and 91st St will not be made.

While detoured stops will be made along 1st Ave as requested.

Click this link to see the detour route."
165122,08/27/2022 10:32:00 AM,delays,"[""M31"", ""M86""]",Eastbound M31 and northbound M86-SBS buses are running with delays following earlier tree pruning at 91st St/York Ave.,Buses have resumed making their regular stops.
164476,08/24/2022 07:20:00 PM,delays,"[""SIM1C"", ""SIM33C"", ""SIM3C"", ""SIM4C""]","Northbound SIM1C, SIM3C, SIM33C, and SIM4C buses are no longer detoured in either direction after NYPD activity concluded on Church Ave.",
164151,08/23/2022 06:38:00 PM,delays,"[""M116"", ""M60""]",Westbound M60-SBS and M116 buses are running with delays in both directions after utility work was completed on 106th St between Broadway and West End Ave.,
164094,08/23/2022 12:48:00 PM,buses-detoured,"[""M116"", ""M60""]",Westbound M60-SBS and M116 buses are detoured in both directions because of utility work on 106th St between Broadway and West End Ave.,"M116 westbound stop at 106th St/Amsterdam Ave will not be made.
Board/exit the bus at 106th St/Broadway instead.

M60-SBS buses will see a few extra turns but no stops will be missed."
164097,08/23/2022 12:55:00 PM,buses-detoured,"[""M116"", ""M60""]",Westbound M60-SBS and M116 buses are detoured in both directions because of utility work on 106th St between Broadway and West End Ave.,"M116 westbound stop at 106th St/Amsterdam Ave will not be made.
Board/exit the bus at 106th St/Broadway instead.

M60-SBS buses will see a few extra turns but no stops will be missed.

Click this link to see the detour route."
162901,08/18/2022 03:36:00 AM,buses-detoured,"[""BX5"", ""BXM8""]",Eastbound Bx5 and northbound BxM8 buses are detoured due to construction taking place on Zerega Ave and the Bruckner Bridge.,"While detoured, stops will be made along Zerega Ave, Commerce Ave, Westchester Ave, and E Tremont Ave as requested."
162920,08/18/2022 05:18:00 AM,buses-detoured,"[""BX5"", ""BXM8""]",Eastbound Bx5 and northbound BxM8 buses are detoured due to construction taking place on Zerega Ave and the Bruckner Bridge.,"Eastbound Bx5 and northbound BxM8 buses will skip the Bruckner Blvd/Huntington Ave stop.

While detoured, stops will be made along Zerega Ave, Commerce Ave, Westchester Ave, and E Tremont Ave as requested."
162921,08/18/2022 05:20:00 AM,buses-detoured,"[""BX5"", ""BXM8""]",Eastbound Bx5 and northbound BxM8 buses are detoured due to construction taking place on Zerega Ave and the Bruckner Bridge.,"Eastbound Bx5 and northbound BxM8 buses will skip the Bruckner Blvd/Huntington Ave stop.

While detoured, stops will be made along Zerega Ave, Commerce Ave, Westchester Ave, and E Tremont Ave as requested.

Click here to view a map of the detoured route."
162956,08/18/2022 11:28:00 AM,delays,"[""BX5"", ""BXM8""]",Eastbound Bx5 and northbound BxM8 buses are running with delays after construction was completed on Zerega Ave and the Bruckner Bridge.,
162757,08/17/2022 03:16:00 PM,delays,"[""M60""]","Eastbound M60-SBS buses are delayed because of a crash on the RFK Bridge Queens-bound ramp.
Please allow additional travel time.",
162765,08/17/2022 03:37:00 PM,delays,"[""M60""]",Eastbound M60-SBS buses are running with delays following an earlier crash on the RFK Bridge Queens-bound ramp.,
160925,08/09/2022 02:00:00 PM,buses-detoured,"[""S46"", ""S52""]",S Ferry-bound S46 and S52 in both directions are detoured because of road work on Cebra Ave between Castleton Ave and St Paul's Ave.,"Stops on Cebra Ave between Castleton Ave and St Paul's Ave will not be made.

While detoured, stops will be made along Jersey St as requested."
160939,08/09/2022 02:28:00 PM,buses-detoured,"[""S46"", ""S52""]",S Ferry-bound S46 and S52 in both directions are detoured because of road work on Cebra Ave between Castleton Ave and St Paul's Ave.,"Stops on Cebra Ave between Castleton Ave and St Paul's Ave will not be made.

While detoured, stops will be made along Jersey St as requested.

Click this link to see the detour routes."
160885,08/09/2022 10:46:00 AM,delays,"[""Q67"", ""Q69""]",Northbound Q69 and Q67 buses are no longer detoured in either direction following earlier roadwork on 44th Dr between 23rd St and 21st St.,
160820,08/09/2022 12:07:00 AM,buses-detoured,"[""Q67"", ""Q69""]",Northbound Q69 and Q67 buses in both directions are detoured due to roadwork on 44th Dr between 23rd St and 21st St.,"While detoured, stops between 21st St/Jackson Ave and 21st St/43rd Ave will not be made.
Stops will be made upon request along Jackson Ave and 43rd Ave instead.

Use this map to view the route detoured buses will take."
160821,08/09/2022 12:07:00 AM,buses-detoured,"[""Q67"", ""Q69""]",Northbound Q69 and Q67 buses in both directions are detoured due to roadwork on 44th Dr between 23rd St and 21st St.,"While detoured, stops between 21st St/Jackson Ave and 21st St/43rd Ave will not be made.
Stops will be made upon request along Jackson Ave and 43rd Ave instead.

Use this link for a map to view the route detoured buses will take."
160655,08/08/2022 12:37:00 PM,buses-detoured,"[""S46"", ""S52""]",Northbound S46 and S52 buses in both directions are detoured due to roadwork on Cebra Ave between Victory Blvd and Castleton Ave.,"For the S46 :
The stop at Victory Blvd/Cebra Ave will be missed.
Board at nearby Castleton Ave/Webster Ave instead.
While detoured, buses will operate along Castleton Ave.

For the S52 :
Stops between Cebra Ave/St. Pauls Ave and Castleton Ave/Cebra Ave will not be made.
Northbound stops will be made upon request along Van Duzer St and Victory Blvd instead.
Southbound stops will be made upon request along St. Pauls Ave and and Victory Blvd instead.

Use this map to view the route detoured buses will take."
160656,08/08/2022 12:38:00 PM,buses-detoured,"[""S46"", ""S52""]",Northbound S46 and S52 buses in both directions are detoured due to roadwork on Cebra Ave between Victory Blvd and Castleton Ave.,"For the S46 :
The stop at Victory Blvd/Cebra Ave will be missed.
Board at nearby Castleton Ave/Webster Ave instead.
While detoured, buses will operate along Castleton Ave.

For the S52 :
Stops between Cebra Ave/St. Pauls Ave and Castleton Ave/Cebra Ave will not be made.
Northbound stops will be made upon request along Van Duzer St and Victory Blvd instead.
Southbound stops will be made upon request along St. Pauls Ave and and Victory Blvd instead.

Use this link for a map to view the route detoured buses will take."
159642,08/03/2022 12:47:00 PM,buses-detoured,"[""BX12""]",Eastbound Bx12 and Bx12-SBS buses are detoured in both directions because of a car crash on 207th St and Sherman Av.,You will experience some extra turns but no stops will be missed.
158160,07/27/2022 01:27:00 PM,buses-detoured,"[""M20"", ""M34A""]",Northbound M20 and westbound M34A-SBS buses are bypassing the 8th Ave/W 40th St stop because of construction in that area.,Use the 8th Ave/W 43rd St bus stop instead.
158208,07/27/2022 04:58:00 PM,buses-detoured,"[""M20"", ""M34A""]",Northbound M20 and westbound M34A-SBS buses are bypassing the 8th Ave/W 40th St stop because of construction in that area.,Use the 8th Ave/W 43rd St bus stop instead.
158341,07/28/2022 09:59:00 AM,buses-detoured,"[""M20"", ""M34A""]",Northbound M20 and westbound M34A-SBS buses are bypassing the 8th Ave/W 40th St stop because of construction in that area.,Use the 8th Ave/W 43rd St bus stop instead.
158551,07/29/2022 01:27:00 PM,buses-detoured,"[""M20"", ""M34A""]",Northbound M20 and westbound M34A-SBS buses are bypassing the 8th Ave/W 40th St stop because of construction in that area.,Use the 8th Ave/W 43rd St bus stop instead.
151201,06/25/2022 03:38:00 PM,buses-detoured,"[""Q32"", ""Q33""]",Westbound Q32 and southbound Q33 buses are detoured because of utility work at 82nd St/37th Ave.,"While detoured, buses will operate along 35th Ave between 82nd St and Roosevelt Ave and make stops as requested along the detour route."
151218,06/25/2022 04:49:00 PM,delays,"[""Q32"", ""Q33""]",Westbound Q32 and southbound Q33 buses are proceeding following earlier utility work at 82nd St/37th Ave.,
150708,06/23/2022 05:40:00 PM,buses-detoured,"[""B103"", ""B25"", ""B38"", ""B41"", ""B52""]","Eastbound B25, B38, B52, and southbound B41, B103 buses are detoured because of a crash at Tillary St/Adams St.","While detoured, B25, B38, and B52 buses will make requested stops on Flatbush Ave between Tillary St and Fulton St.
B41 and B103 will make requested stops on Flatbush Ave between Adams St and Livingston St."
150711,06/23/2022 06:16:00 PM,buses-detoured,"[""B103"", ""B25"", ""B38"", ""B41"", ""B52""]","Eastbound B25, B38, B52, and southbound B41, B103 buses are detoured because of a crash at Tillary St/Adams St.","While detoured, B25, B38, and B52 buses will make requested stops on Flatbush Ave between Tillary St and Fulton St.
Click this link to see how buses will run along the detoured route.

B41 and B103 will make requested stops on Flatbush Ave between Adams St and Livingston St.
Click this link to see how buses will run along the detoured route."
150805,06/24/2022 01:52:00 AM,delays,"[""B103"", ""B25"", ""B38"", ""B41"", ""B52""]","Eastbound B25, B38, B52, and southbound B41, B103 buses are no longer detoured following a crash at Tillary St/Adams St.",
150029,06/20/2022 01:52:00 AM,delays,"[""BXM7""]","The following BxM7 trips will not run:
Northbound: 11:10 PM
Southbound: 10:00 PM","We’re running as much service as we can with the bus operators we have available.
See when the next bus will arrive using bt.mta.info"
150006,06/19/2022 10:07:00 PM,delays,"[""BXM6""]","The following BxM6 trips will not run:
Northbound: 6:15 PM, 9:15 PM
Southbound: 8:00 PM","We’re running as much service as we can with the bus operators we have available.
See when the next bus will arrive using bt.mta.info"
149997,06/19/2022 08:33:00 PM,delays,"[""BXM7""]","The following BxM7 trips will not run:
Northbound: 5:10 PM, 8:10 PM
Southbound: 7:00 PM","We’re running as much service as we can with the bus operators we have available.
See when the next bus will arrive using bt.mta.info"
149996,06/19/2022 08:32:00 PM,delays,"[""BXM9""]","The following BxM9 trips will not run:
Northbound: 4:30 PM, 7:30 PM
Southbound: 6:15 PM","We’re running as much service as we can with the bus operators we have available.
See when the next bus will arrive using bt.mta.info"
149992,06/19/2022 07:58:00 PM,delays,"[""SIM1C""]","The following SIM1C trips will not run:
Northbound: 3:50 PM, 5:30 PM, 6:50 PM, 7:10 PM
Southbound: 3:50 PM, 4:10 PM, 5:10 PM, 5:50 PM","We’re running as much service as we can with the bus operators we have available.
See when the next bus will arrive using bt.mta.info"
149900,06/19/2022 01:58:00 AM,delays,"[""SIM1C""]","The following SIM1C trips will not run:
Northbound: 10:30 PM
Southbound: 10:35 PM, 12:00 AM","We’re running as much service as we can with the bus operators we have available.
See when the next bus will arrive using bt.mta.info"
149891,06/18/2022 11:25:00 PM,delays,"[""SIM3C""]","The following SIM3C trips will not run:
Northbound: 7:15 PM, 9:15 PM
Southbound: 8:55 PM, 10:55 PM, 11:25 PM","We’re running as much service as we can with the bus operators we have available.
See when the next bus will arrive using bt.mta.info"
149882,06/18/2022 10:14:00 PM,delays,"[""SIM1C""]","The following SIM1C trips will not run:
Northbound: 7:20 PM, 7:35 PM, 7:50 PM, 8:05 PM
Southbound: 9:00 PM","We’re running as much service as we can with the bus operators we have available.
See when the next bus will arrive using bt.mta.info"
149890,06/18/2022 11:22:00 PM,delays,"[""SIM1C""]","The following SIM1C trips will not run: 
Southbound: 7:35 PM, 7:50 PM, 8:05 PM 
Northbound: 9:00 PM","We’re running as much service as we can with the bus operators we have available.
See when the next bus will arrive using bt.mta.info"
149867,06/18/2022 08:10:00 PM,delays,"[""SIM4C""]","The following SIM4C trips will not run:
Northbound: 5:30 PM, 6:30 PM
Southbound: 7:20 PM, 8:20 PM","We’re running as much service as we can with the bus operators we have available.
See when the next bus will arrive using bt.mta.info"
149866,06/18/2022 07:57:00 PM,delays,"[""SIM1C""]","The following SIM1C trips will not run:
Northbound: 5:52 PM
Southbound: 4:13 PM, 5:40 PM, 5:55 PM, 6:10 PM","We’re running as much service as we can with the bus operators we have available.
See when the next bus will arrive using bt.mta.info"
149881,06/18/2022 09:41:00 PM,delays,"[""SIM1C""]","The following SIM1C trips will not run:
Northbound: 5:52 PM
Southbound: 4:13 PM, 5:40 PM, 5:55 PM","We’re running as much service as we can with the bus operators we have available.
See when the next bus will arrive using bt.mta.info"
149864,06/18/2022 07:33:00 PM,delays,"[""SIM33C""]","The following SIM33C trips will not run:
Northbound: 5:40 PM, 8:10 PM, 11:10 PM
Southbound: 3:35 PM, 6:25 PM","We’re running as much service as we can with the bus operators we have available.
See when the next bus will arrive using bt.mta.info"
148749,06/13/2022 07:44:00 PM,delays,"[""BXM11""]","The following BxM11 trips will not run:
Northbound: 5:48 PM, 9:20 PM, 12:20 AM
Southbound: 11:00 PM","We’re running as much service as we can with the bus operators we have available.
See when the next bus will arrive using bt.mta.info"
148742,06/13/2022 07:28:00 PM,delays,"[""BXM8""]","The following BxM8 trips will not run:
Northbound: 3:00 PM, 3:30 PM, 4:30 PM, 5:42 PM, 6:10 PM, 6:30 PM
Southbound: 4:00 PM, 6:00 PM","We’re running as much service as we can with the bus operators we have available.
See when the next bus will arrive using bt.mta.info"
